subjID,condition,switch,group,correct,correct_8,explore,status,time,totalEarn
I025,static,0.974683544,child,1,1,0.759493671,NA,NA,293
I026,dynamic,1,child,0.8,1,0.784810127,1,41,307
I027,dynamic,0.936708861,child,1,1,0.759493671,1,41,465
I028,dynamic,0.392405063,child,1,1,0.253164557,1,49,320
I029,static,0.974683544,child,0.8,1,0.734177215,NA,NA,314
I030,dynamic,0.987341772,child,1,1,0.759493671,1,41,290
I031,dynamic,0.886075949,child,0.4,1,0.746835443,1,41,305
I032,static,0.949367089,child,1,1,0.708860759,NA,NA,314
I033,static,0.696202532,child,1,1,0.46835443,NA,NA,325
I034,dynamic,0.898734177,child,1,1,0.797468354,1,47,356
I035,dynamic,0.974683544,child,0.8,1,0.772151899,1,43,441
I037,static,0.974683544,child,1,1,0.734177215,NA,NA,318
I038,dynamic,0.987341772,child,0.6,1,0.721518987,1,40,310
I039,dynamic,0.936708861,child,1,1,0.64556962,1,40,316
I040,static,0.949367089,child,1,1,0.746835443,NA,NA,294
I042,static,0.050632911,child,1,1,0.037974684,NA,NA,413
I043,dynamic,0.17721519,child,0.8,0,0.126582278,0,80,386
I044,dynamic,0.962025316,child,1,1,0.670886076,1,44,336
I045,static,0.987341772,child,1,1,0.746835443,NA,NA,324
I046,dynamic,0.962025316,child,0.6,1,0.759493671,1,42,313
I047,dynamic,1,child,0.8,0,0.772151899,1,41,335
I048,dynamic,0.987341772,child,1,1,0.759493671,1,42,349
I049,static,0.949367089,child,1,1,0.784810127,NA,NA,329
I050,dynamic,0.987341772,child,1,1,0.810126582,1,42,369
I051,static,0.240506329,child,0.8,0,0.164556962,NA,NA,315
I052,dynamic,0.607594937,child,1,1,0.455696203,1,49,299
I053,dynamic,0.696202532,child,1,1,0.556962025,1,42,439
I054,dynamic,0.569620253,child,1,1,0.683544304,1,42,302
I056,static,0.835443038,child,0.8,1,0.594936709,NA,NA,455
I058,dynamic,1,child,1,1,0.759493671,1,40,437
I059,dynamic,0.974683544,child,0,0,0.721518987,1,41,397
I060,dynamic,0.924050633,child,1,1,0.683544304,1,40,381
I061,dynamic,1,child,1,1,0.746835443,1,41,464
I062,dynamic,0.924050633,child,1,1,0.607594937,1,48,303
I063,dynamic,0.974683544,child,0.6,1,0.746835443,1,43,327
I064,dynamic,0.949367089,child,1,1,0.772151899,1,43,308
I066,dynamic,0.139240506,child,0.8,0,0.126582278,0,80,238
I067,dynamic,1,child,0.8,1,0.772151899,1,41,246
I068,dynamic,0.075949367,child,0.4,0,0.050632911,0,80,257
I069,dynamic,0.911392405,child,0.6,1,0.797468354,1,41,339
I070,static,0.974683544,child,1,1,0.670886076,NA,NA,251
I071,dynamic,0.253164557,child,0.8,0,0.151898734,0,80,243
I072,dynamic,0.405063291,child,0.8,0,0.278481013,0,80,468
I073,dynamic,0.848101266,child,1,1,0.594936709,1,42,245
I074,static,0.075949367,child,0.6,1,0.037974684,NA,NA,231
I075,dynamic,0.075949367,child,0.6,0,0.050632911,0,80,430
I076,static,0.696202532,child,1,1,0.53164557,NA,NA,292
I077,dynamic,1,child,1,1,0.772151899,1,43,271
I078,static,0.683544304,child,1,1,0.443037975,NA,NA,468
S011,dynamic,0.962025316,child,1,1,0.759493671,1,40,309
C106540,dynamic,0.113924051,adult,0.8,0,0.05,0,80,453
C108472,dynamic,0.050632911,adult,0.8,0,0.025,0,80,468
C114455,static,0.050632911,adult,1,1,0.0125,NA,NA,450
C117906,static,0.037974684,adult,1,1,0.0125,NA,NA,378
C118442,static,0.037974684,adult,0.6,1,0.0125,NA,NA,468
C121661,static,0.050632911,adult,0.6,1,0.0125,NA,NA,465
C122521,dynamic,0.101265823,adult,0.4,0,0.05,0,80,456
C124605,dynamic,0.848101266,adult,0.8,1,0.575,1,40,441
C141267,static,0.088607595,adult,0.6,1,0.0375,NA,NA,456
C151358,static,0.101265823,adult,1,1,0.0625,NA,NA,456
C170329,static,0.101265823,adult,1,1,0.0625,NA,NA,477
C175114,static,0.113924051,adult,1,1,0.05,NA,NA,478
C195993,static,0.037974684,adult,1,1,0.0125,NA,NA,431
C199694,dynamic,0.050632911,adult,0.4,0,0.025,0,80,464
C214082,static,0.189873418,adult,0.6,1,0.1375,NA,NA,453
C214332,static,0.101265823,adult,1,1,0.1,NA,NA,461
C236616,static,0.101265823,adult,1,1,0.0625,NA,NA,451
C241350,static,0.278481013,adult,0.8,0,0.2,NA,NA,468
C246782,static,0.113924051,adult,0.6,1,0.0625,NA,NA,365
C246902,dynamic,0.101265823,adult,0.8,0,0.075,0,80,413
C269990,dynamic,0.329113924,adult,1,1,0.2125,1,40,444
C276861,static,0.050632911,adult,1,1,0.0375,NA,NA,470
C285659,static,0.075949367,adult,0.6,1,0.0375,NA,NA,457
C294690,static,0.050632911,adult,0.4,0,0.025,NA,NA,453
C300083,static,0.063291139,adult,0.4,1,0.0125,NA,NA,483
C305651,dynamic,0.278481013,adult,0.4,1,0.1875,1,48,378
C308534,dynamic,0.215189873,adult,1,1,0.1375,1,58,461
C311031,static,0.050632911,adult,0.6,1,0.0375,NA,NA,485
C312383,static,0.037974684,adult,1,1,0.0125,NA,NA,468
C323917,static,0.151898734,adult,1,1,0.075,NA,NA,468
C341958,dynamic,0.050632911,adult,0.2,0,0.0125,0,80,461
C355547,dynamic,0.215189873,adult,0.8,1,0.1125,1,58,468
C366200,dynamic,0.151898734,adult,1,1,0.0875,1,77,425
C367466,dynamic,0.101265823,adult,0.8,0,0.05,0,80,444
C368364,dynamic,0.417721519,adult,1,1,0.25,1,55,468
C372078,dynamic,0.063291139,adult,0.4,0,0.0375,0,80,473
C382811,static,0.126582278,adult,1,1,0.0625,NA,NA,468
C396695,static,0.075949367,adult,1,1,0.0375,NA,NA,457
C404864,dynamic,0.215189873,adult,0.4,1,0.1125,1,56,456
C405681,static,0.075949367,adult,1,1,0.025,NA,NA,468
C407811,static,0.139240506,adult,0.8,1,0.05,NA,NA,465
C413970,dynamic,0.64556962,adult,0,0,0.5625,1,41,471
C416119,static,0.113924051,adult,1,1,0.075,NA,NA,456
C430222,static,0.088607595,adult,1,1,0.05,NA,NA,464
C433786,dynamic,0.443037975,adult,0.2,0,0.3,1,54,456
C447421,dynamic,0.088607595,adult,0.8,0,0.0375,0,80,468
C450524,static,0.101265823,adult,1,1,0.075,NA,NA,468
C453973,static,0.101265823,adult,1,1,0.0625,NA,NA,468
C455114,static,0.101265823,adult,1,1,0.0625,NA,NA,468
C458938,dynamic,0.291139241,adult,1,1,0.175,1,57,468
C467685,static,0.050632911,adult,0.6,1,0.025,NA,NA,460
C473189,static,0.227848101,adult,0.6,1,0.1375,NA,NA,465
C497408,static,0.113924051,adult,1,1,0.0625,NA,NA,461
C500496,dynamic,0.050632911,adult,0.8,0,0.075,0,80,456
C508528,dynamic,0.189873418,adult,0.8,0,0.2125,0,80,456
C508699,static,0.050632911,adult,0.8,0,0.025,NA,NA,433
C510966,dynamic,0.126582278,adult,0.8,0,0.075,0,80,449
C512952,static,0.050632911,adult,0.6,1,0.0375,NA,NA,456
C516895,static,0.151898734,adult,1,1,0.075,NA,NA,420
C525597,static,0.075949367,adult,0.6,1,0.05,NA,NA,253
C533545,dynamic,0.113924051,adult,0.8,0,0.075,0,80,456
C542538,static,0.063291139,adult,1,1,0.025,NA,NA,468
C546592,static,0.253164557,adult,0.8,1,0.1625,NA,NA,465
C546829,dynamic,0.17721519,adult,0.6,1,0.0875,1,63,465
C549644,dynamic,0.620253165,adult,0.4,0,0.5375,1,50,464
C550827,static,0.430379747,adult,1,1,0.3,NA,NA,468
C554893,dynamic,0.101265823,adult,0.4,0,0.05,0,80,468
C557613,dynamic,0.215189873,adult,0.4,1,0.1375,1,52,455
C581757,dynamic,0.063291139,adult,0.8,0,0.05,0,80,458
C597861,dynamic,0.050632911,adult,0.4,0,0.025,0,80,455
C619536,static,0.101265823,adult,1,1,0.075,NA,NA,447
C628667,static,0.139240506,adult,1,1,0.075,NA,NA,459
C657154,static,0.139240506,adult,1,1,0.1,NA,NA,461
C657532,dynamic,0.202531646,adult,0.6,1,0.1,1,69,456
C694371,dynamic,0.265822785,adult,0.8,0,0.15,0,80,468
C701897,static,0.037974684,adult,1,1,0.0125,NA,NA,426
C702816,static,0.050632911,adult,1,1,0.025,NA,NA,456
C710910,static,0.050632911,adult,1,1,0.025,NA,NA,463
C715506,static,0.050632911,adult,0.4,0,0.025,NA,NA,468
C722096,static,0.101265823,adult,1,1,0.0625,NA,NA,468
C724041,static,0.101265823,adult,1,1,0.0625,NA,NA,444
C728723,static,0.063291139,adult,1,1,0.025,NA,NA,465
C731954,static,0.050632911,adult,0,0,0.025,NA,NA,464
C733870,static,0.050632911,adult,1,1,0.0125,NA,NA,420
C759783,dynamic,0.139240506,adult,0.8,0,0.0875,0,80,379
C762877,dynamic,0.050632911,adult,0.4,0,0.025,0,80,464
C764029,dynamic,0.139240506,adult,1,1,0.0875,1,68,456
C779773,static,0.037974684,adult,0.6,1,0.025,NA,NA,453
C785202,static,0.17721519,adult,0.6,1,0.1125,NA,NA,446
C786384,dynamic,0.050632911,adult,0.4,0,0.025,0,80,468
C793907,static,0.088607595,adult,1,1,0.1625,NA,NA,468
C801520,static,0.101265823,adult,0.6,1,0.075,NA,NA,456
C802058,static,0.164556962,adult,1,1,0.1,NA,NA,465
C809735,dynamic,0.050632911,adult,0.4,0,0.0375,0,80,468
C819074,static,0.151898734,adult,1,1,0.125,NA,NA,468
C828287,static,0.189873418,adult,1,1,0.1,NA,NA,468
C848021,static,0.113924051,adult,0.6,1,0.0625,NA,NA,441
C855126,static,0.037974684,adult,1,1,0,NA,NA,414
C865800,static,0.113924051,adult,1,1,0.075,NA,NA,456
C883278,static,0.291139241,adult,1,1,0.175,NA,NA,449
C885660,static,0.379746835,adult,1,1,0.3125,NA,NA,429
C915326,static,0.265822785,adult,0.8,0,0.15,NA,NA,441
C927583,static,0.050632911,adult,1,1,0.025,NA,NA,456
C932729,static,0.291139241,adult,1,1,0.2,NA,NA,468
C932956,dynamic,0.075949367,adult,0.8,0,0.0375,0,80,465
C942598,dynamic,0.341772152,adult,1,1,0.1875,1,50,453
C942827,static,0.101265823,adult,0.8,0,0.0875,NA,NA,415
C950491,dynamic,0.126582278,adult,0.8,0,0.075,0,80,381
C958556,static,0.202531646,adult,0.4,1,0.1125,NA,NA,424
C972222,static,0.063291139,adult,1,1,0.0375,NA,NA,468
C979608,dynamic,0.202531646,adult,0.6,1,0.1,1,54,409
C983147,dynamic,0.063291139,adult,0.2,0,0.025,0,80,451
C990326,static,0.265822785,adult,1,1,0.1625,NA,NA,464
C996097,static,0.101265823,adult,1,1,0.0625,NA,NA,413
C998204,dynamic,0.050632911,adult,0.8,0,0.025,0,80,456