"","subjID","condition","group","half","n","prop_best"
"1","C106540","dynamic","adult","trial 1-40",35,0.875
"2","C106540","dynamic","adult","trial 41-80",0,0
"3","C107684","dynamic","adult","trial 1-40",34,0.85
"4","C107684","dynamic","adult","trial 41-80",0,0
"5","C108472","dynamic","adult","trial 1-40",37,0.925
"6","C108472","dynamic","adult","trial 41-80",0,0
"7","C114455","static","adult","trial 1-40",37,0.925
"8","C114455","static","adult","trial 41-80",40,1
"9","C117906","static","adult","trial 1-40",37,0.925
"10","C117906","static","adult","trial 41-80",40,1
"11","C118442","static","adult","trial 1-40",37,0.925
"12","C118442","static","adult","trial 41-80",40,1
"13","C121661","static","adult","trial 1-40",37,0.925
"14","C121661","static","adult","trial 41-80",40,1
"15","C122521","dynamic","adult","trial 1-40",32,0.8
"16","C122521","dynamic","adult","trial 41-80",0,0
"17","C124605","dynamic","adult","trial 1-40",17,0.425
"18","C124605","dynamic","adult","trial 41-80",17,0.425
"19","C141267","static","adult","trial 1-40",36,0.9
"20","C141267","static","adult","trial 41-80",39,0.975
"21","C145658","static","adult","trial 1-40",36,0.9
"22","C145658","static","adult","trial 41-80",40,1
"23","C151358","static","adult","trial 1-40",35,0.875
"24","C151358","static","adult","trial 41-80",40,1
"25","C170329","static","adult","trial 1-40",37,0.925
"26","C170329","static","adult","trial 41-80",37,0.925
"27","C175114","static","adult","trial 1-40",33,0.825
"28","C175114","static","adult","trial 41-80",40,1
"29","C195993","static","adult","trial 1-40",37,0.925
"30","C195993","static","adult","trial 41-80",40,1
"31","C199694","dynamic","adult","trial 1-40",37,0.925
"32","C199694","dynamic","adult","trial 41-80",0,0
"33","C200608","dynamic","adult","trial 1-40",36,0.9
"34","C200608","dynamic","adult","trial 41-80",0,0
"35","C208225","static","adult","trial 1-40",36,0.9
"36","C208225","static","adult","trial 41-80",38,0.95
"37","C214082","static","adult","trial 1-40",32,0.8
"38","C214082","static","adult","trial 41-80",36,0.9
"39","C214332","static","adult","trial 1-40",40,1
"40","C214332","static","adult","trial 41-80",32,0.8
"41","C236616","static","adult","trial 1-40",34,0.85
"42","C236616","static","adult","trial 41-80",40,1
"43","C241350","static","adult","trial 1-40",30,0.75
"44","C241350","static","adult","trial 41-80",33,0.825
"45","C241656","static","adult","trial 1-40",3,0.075
"46","C241656","static","adult","trial 41-80",2,0.05
"47","C246782","static","adult","trial 1-40",36,0.9
"48","C246782","static","adult","trial 41-80",38,0.95
"49","C246902","dynamic","adult","trial 1-40",34,0.85
"50","C246902","dynamic","adult","trial 41-80",0,0
"51","C252304","dynamic","adult","trial 1-40",28,0.7
"52","C252304","dynamic","adult","trial 41-80",0,0
"53","C252338","dynamic","adult","trial 1-40",34,0.85
"54","C252338","dynamic","adult","trial 41-80",0,0
"55","C269990","dynamic","adult","trial 1-40",32,0.8
"56","C269990","dynamic","adult","trial 41-80",31,0.775
"57","C276861","static","adult","trial 1-40",37,0.925
"58","C276861","static","adult","trial 41-80",40,1
"59","C282940","dynamic","adult","trial 1-40",34,0.85
"60","C282940","dynamic","adult","trial 41-80",0,0
"61","C285659","static","adult","trial 1-40",36,0.9
"62","C285659","static","adult","trial 41-80",40,1
"63","C294690","static","adult","trial 1-40",36,0.9
"64","C294690","static","adult","trial 41-80",40,1
"65","C300083","static","adult","trial 1-40",36,0.9
"66","C300083","static","adult","trial 41-80",40,1
"67","C305651","dynamic","adult","trial 1-40",32,0.8
"68","C305651","dynamic","adult","trial 41-80",24,0.6
"69","C308534","dynamic","adult","trial 1-40",34,0.85
"70","C308534","dynamic","adult","trial 41-80",18,0.45
"71","C311031","static","adult","trial 1-40",37,0.925
"72","C311031","static","adult","trial 41-80",40,1
"73","C312383","static","adult","trial 1-40",37,0.925
"74","C312383","static","adult","trial 41-80",40,1
"75","C323131","dynamic","adult","trial 1-40",30,0.75
"76","C323131","dynamic","adult","trial 41-80",11,0.275
"77","C323917","static","adult","trial 1-40",34,0.85
"78","C323917","static","adult","trial 41-80",39,0.975
"79","C341958","dynamic","adult","trial 1-40",36,0.9
"80","C341958","dynamic","adult","trial 41-80",0,0
"81","C352019","dynamic","adult","trial 1-40",37,0.925
"82","C352019","dynamic","adult","trial 41-80",0,0
"83","C355547","dynamic","adult","trial 1-40",33,0.825
"84","C355547","dynamic","adult","trial 41-80",19,0.475
"85","C357215","static","adult","trial 1-40",36,0.9
"86","C357215","static","adult","trial 41-80",40,1
"87","C366200","dynamic","adult","trial 1-40",34,0.85
"88","C366200","dynamic","adult","trial 41-80",2,0.05
"89","C367466","dynamic","adult","trial 1-40",36,0.9
"90","C367466","dynamic","adult","trial 41-80",0,0
"91","C368364","dynamic","adult","trial 1-40",31,0.775
"92","C368364","dynamic","adult","trial 41-80",18,0.45
"93","C372078","dynamic","adult","trial 1-40",37,0.925
"94","C372078","dynamic","adult","trial 41-80",0,0
"95","C382811","static","adult","trial 1-40",36,0.9
"96","C382811","static","adult","trial 41-80",38,0.95
"97","C396695","static","adult","trial 1-40",33,0.825
"98","C396695","static","adult","trial 41-80",40,1
"99","C404864","dynamic","adult","trial 1-40",35,0.875
"100","C404864","dynamic","adult","trial 41-80",19,0.475
"101","C405681","static","adult","trial 1-40",36,0.9
"102","C405681","static","adult","trial 41-80",40,1
"103","C407811","static","adult","trial 1-40",32,0.8
"104","C407811","static","adult","trial 41-80",39,0.975
"105","C413970","dynamic","adult","trial 1-40",8,0.2
"106","C413970","dynamic","adult","trial 41-80",25,0.625
"107","C416119","static","adult","trial 1-40",33,0.825
"108","C416119","static","adult","trial 41-80",40,1
"109","C418483","static","adult","trial 1-40",35,0.875
"110","C418483","static","adult","trial 41-80",40,1
"111","C430222","static","adult","trial 1-40",35,0.875
"112","C430222","static","adult","trial 41-80",40,1
"113","C433786","dynamic","adult","trial 1-40",14,0.35
"114","C433786","dynamic","adult","trial 41-80",21,0.525
"115","C447421","dynamic","adult","trial 1-40",34,0.85
"116","C447421","dynamic","adult","trial 41-80",0,0
"117","C450524","static","adult","trial 1-40",34,0.85
"118","C450524","static","adult","trial 41-80",40,1
"119","C453973","static","adult","trial 1-40",35,0.875
"120","C453973","static","adult","trial 41-80",40,1
"121","C455114","static","adult","trial 1-40",36,0.9
"122","C455114","static","adult","trial 41-80",39,0.975
"123","C458938","dynamic","adult","trial 1-40",31,0.775
"124","C458938","dynamic","adult","trial 41-80",19,0.475
"125","C467685","static","adult","trial 1-40",37,0.925
"126","C467685","static","adult","trial 41-80",40,1
"127","C473189","static","adult","trial 1-40",32,0.8
"128","C473189","static","adult","trial 41-80",34,0.85
"129","C497408","static","adult","trial 1-40",34,0.85
"130","C497408","static","adult","trial 41-80",40,1
"131","C500496","dynamic","adult","trial 1-40",31,0.775
"132","C500496","dynamic","adult","trial 41-80",0,0
"133","C500532","dynamic","adult","trial 1-40",34,0.85
"134","C500532","dynamic","adult","trial 41-80",21,0.525
"135","C502121","static","adult","trial 1-40",36,0.9
"136","C502121","static","adult","trial 41-80",40,1
"137","C508528","dynamic","adult","trial 1-40",26,0.65
"138","C508528","dynamic","adult","trial 41-80",0,0
"139","C508699","static","adult","trial 1-40",37,0.925
"140","C508699","static","adult","trial 41-80",40,1
"141","C510966","dynamic","adult","trial 1-40",35,0.875
"142","C510966","dynamic","adult","trial 41-80",0,0
"143","C512952","static","adult","trial 1-40",37,0.925
"144","C512952","static","adult","trial 41-80",40,1
"145","C516895","static","adult","trial 1-40",33,0.825
"146","C516895","static","adult","trial 41-80",38,0.95
"147","C525597","static","adult","trial 1-40",37,0.925
"148","C525597","static","adult","trial 41-80",39,0.975
"149","C533545","dynamic","adult","trial 1-40",33,0.825
"150","C533545","dynamic","adult","trial 41-80",0,0
"151","C542538","static","adult","trial 1-40",36,0.9
"152","C542538","static","adult","trial 41-80",40,1
"153","C546592","static","adult","trial 1-40",28,0.7
"154","C546592","static","adult","trial 41-80",37,0.925
"155","C546829","dynamic","adult","trial 1-40",36,0.9
"156","C546829","dynamic","adult","trial 41-80",14,0.35
"157","C549644","dynamic","adult","trial 1-40",19,0.475
"158","C549644","dynamic","adult","trial 41-80",8,0.2
"159","C550827","static","adult","trial 1-40",18,0.45
"160","C550827","static","adult","trial 41-80",36,0.9
"161","C554893","dynamic","adult","trial 1-40",35,0.875
"162","C554893","dynamic","adult","trial 41-80",0,0
"163","C557613","dynamic","adult","trial 1-40",35,0.875
"164","C557613","dynamic","adult","trial 41-80",21,0.525
"165","C559246","dynamic","adult","trial 1-40",37,0.925
"166","C559246","dynamic","adult","trial 41-80",0,0
"167","C581757","dynamic","adult","trial 1-40",34,0.85
"168","C581757","dynamic","adult","trial 41-80",0,0
"169","C597861","dynamic","adult","trial 1-40",37,0.925
"170","C597861","dynamic","adult","trial 41-80",0,0
"171","C602845","static","adult","trial 1-40",36,0.9
"172","C602845","static","adult","trial 41-80",40,1
"173","C619536","static","adult","trial 1-40",34,0.85
"174","C619536","static","adult","trial 41-80",40,1
"175","C621473","dynamic","adult","trial 1-40",36,0.9
"176","C621473","dynamic","adult","trial 41-80",0,0
"177","C628667","static","adult","trial 1-40",35,0.875
"178","C628667","static","adult","trial 41-80",38,0.95
"179","C657154","static","adult","trial 1-40",31,0.775
"180","C657154","static","adult","trial 41-80",40,1
"181","C657532","dynamic","adult","trial 1-40",32,0.8
"182","C657532","dynamic","adult","trial 41-80",9,0.225
"183","C665022","dynamic","adult","trial 1-40",37,0.925
"184","C665022","dynamic","adult","trial 41-80",0,0
"185","C677474","dynamic","adult","trial 1-40",37,0.925
"186","C677474","dynamic","adult","trial 41-80",11,0.275
"187","C694371","dynamic","adult","trial 1-40",30,0.75
"188","C694371","dynamic","adult","trial 41-80",0,0
"189","C701897","static","adult","trial 1-40",37,0.925
"190","C701897","static","adult","trial 41-80",40,1
"191","C702816","static","adult","trial 1-40",37,0.925
"192","C702816","static","adult","trial 41-80",40,1
"193","C710910","static","adult","trial 1-40",37,0.925
"194","C710910","static","adult","trial 41-80",40,1
"195","C715506","static","adult","trial 1-40",37,0.925
"196","C715506","static","adult","trial 41-80",40,1
"197","C722096","static","adult","trial 1-40",34,0.85
"198","C722096","static","adult","trial 41-80",40,1
"199","C724041","static","adult","trial 1-40",34,0.85
"200","C724041","static","adult","trial 41-80",40,1
"201","C728723","static","adult","trial 1-40",36,0.9
"202","C728723","static","adult","trial 41-80",40,1
"203","C731954","static","adult","trial 1-40",37,0.925
"204","C731954","static","adult","trial 41-80",40,1
"205","C733870","static","adult","trial 1-40",37,0.925
"206","C733870","static","adult","trial 41-80",40,1
"207","C759783","dynamic","adult","trial 1-40",31,0.775
"208","C759783","dynamic","adult","trial 41-80",0,0
"209","C762877","dynamic","adult","trial 1-40",37,0.925
"210","C762877","dynamic","adult","trial 41-80",0,0
"211","C764029","dynamic","adult","trial 1-40",34,0.85
"212","C764029","dynamic","adult","trial 41-80",12,0.3
"213","C779773","static","adult","trial 1-40",37,0.925
"214","C779773","static","adult","trial 41-80",40,1
"215","C785202","static","adult","trial 1-40",33,0.825
"216","C785202","static","adult","trial 41-80",37,0.925
"217","C786384","dynamic","adult","trial 1-40",37,0.925
"218","C786384","dynamic","adult","trial 41-80",0,0
"219","C793907","static","adult","trial 1-40",27,0.675
"220","C793907","static","adult","trial 41-80",39,0.975
"221","C795114","static","adult","trial 1-40",32,0.8
"222","C795114","static","adult","trial 41-80",34,0.85
"223","C795388","dynamic","adult","trial 1-40",34,0.85
"224","C795388","dynamic","adult","trial 41-80",0,0
"225","C797694","dynamic","adult","trial 1-40",34,0.85
"226","C797694","dynamic","adult","trial 41-80",0,0
"227","C801520","static","adult","trial 1-40",34,0.85
"228","C801520","static","adult","trial 41-80",40,1
"229","C802058","static","adult","trial 1-40",32,0.8
"230","C802058","static","adult","trial 41-80",40,1
"231","C809735","dynamic","adult","trial 1-40",37,0.925
"232","C809735","dynamic","adult","trial 41-80",0,0
"233","C819074","static","adult","trial 1-40",28,0.7
"234","C819074","static","adult","trial 41-80",40,1
"235","C828287","static","adult","trial 1-40",32,0.8
"236","C828287","static","adult","trial 41-80",38,0.95
"237","C848021","static","adult","trial 1-40",35,0.875
"238","C848021","static","adult","trial 41-80",39,0.975
"239","C855126","static","adult","trial 1-40",37,0.925
"240","C855126","static","adult","trial 41-80",40,1
"241","C863945","static","adult","trial 1-40",36,0.9
"242","C863945","static","adult","trial 41-80",40,1
"243","C865800","static","adult","trial 1-40",33,0.825
"244","C865800","static","adult","trial 41-80",40,1
"245","C883278","static","adult","trial 1-40",27,0.675
"246","C883278","static","adult","trial 41-80",35,0.875
"247","C885660","static","adult","trial 1-40",27,0.675
"248","C885660","static","adult","trial 41-80",27,0.675
"249","C915326","static","adult","trial 1-40",31,0.775
"250","C915326","static","adult","trial 41-80",35,0.875
"251","C927583","static","adult","trial 1-40",37,0.925
"252","C927583","static","adult","trial 41-80",40,1
"253","C932729","static","adult","trial 1-40",30,0.75
"254","C932729","static","adult","trial 41-80",32,0.8
"255","C932956","dynamic","adult","trial 1-40",37,0.925
"256","C932956","dynamic","adult","trial 41-80",0,0
"257","C942598","dynamic","adult","trial 1-40",32,0.8
"258","C942598","dynamic","adult","trial 41-80",22,0.55
"259","C942827","static","adult","trial 1-40",37,0.925
"260","C942827","static","adult","trial 41-80",36,0.9
"261","C950491","dynamic","adult","trial 1-40",34,0.85
"262","C950491","dynamic","adult","trial 41-80",0,0
"263","C958556","static","adult","trial 1-40",34,0.85
"264","C958556","static","adult","trial 41-80",37,0.925
"265","C972222","static","adult","trial 1-40",36,0.9
"266","C972222","static","adult","trial 41-80",40,1
"267","C979608","dynamic","adult","trial 1-40",34,0.85
"268","C979608","dynamic","adult","trial 41-80",24,0.6
"269","C983147","dynamic","adult","trial 1-40",36,0.9
"270","C983147","dynamic","adult","trial 41-80",0,0
"271","C987589","dynamic","adult","trial 1-40",34,0.85
"272","C987589","dynamic","adult","trial 41-80",0,0
"273","C990326","static","adult","trial 1-40",31,0.775
"274","C990326","static","adult","trial 41-80",33,0.825
"275","C996097","static","adult","trial 1-40",34,0.85
"276","C996097","static","adult","trial 41-80",40,1
"277","C998204","dynamic","adult","trial 1-40",37,0.925
"278","C998204","dynamic","adult","trial 41-80",0,0
"279","I001","dynamic","child","trial 1-40",36,0.9
"280","I001","dynamic","child","trial 41-80",27,0.675
"281","I002","dynamic","child","trial 1-40",12,0.3
"282","I002","dynamic","child","trial 41-80",10,0.25
"283","I004","dynamic","child","trial 1-40",11,0.275
"284","I004","dynamic","child","trial 41-80",10,0.25
"285","I005","dynamic","child","trial 1-40",11,0.275
"286","I005","dynamic","child","trial 41-80",10,0.25
"287","I006","dynamic","child","trial 1-40",13,0.325
"288","I006","dynamic","child","trial 41-80",11,0.275
"289","I007","static","child","trial 1-40",13,0.325
"290","I007","static","child","trial 41-80",11,0.275
"291","I008","static","child","trial 1-40",21,0.525
"292","I008","static","child","trial 41-80",19,0.475
"293","I009","dynamic","child","trial 1-40",13,0.325
"294","I009","dynamic","child","trial 41-80",4,0.1
"295","I010","static","child","trial 1-40",10,0.25
"296","I010","static","child","trial 41-80",14,0.35
"297","I011","dynamic","child","trial 1-40",15,0.375
"298","I011","dynamic","child","trial 41-80",15,0.375
"299","I012","dynamic","child","trial 1-40",9,0.225
"300","I012","dynamic","child","trial 41-80",6,0.15
"301","I014","dynamic","child","trial 1-40",16,0.4
"302","I014","dynamic","child","trial 41-80",10,0.25
"303","I015","static","child","trial 1-40",37,0.925
"304","I015","static","child","trial 41-80",37,0.925
"305","I016","static","child","trial 1-40",13,0.325
"306","I016","static","child","trial 41-80",20,0.5
"307","I018","dynamic","child","trial 1-40",30,0.75
"308","I018","dynamic","child","trial 41-80",0,0
"309","I019","dynamic","child","trial 1-40",10,0.25
"310","I019","dynamic","child","trial 41-80",11,0.275
"311","I020","static","child","trial 1-40",11,0.275
"312","I020","static","child","trial 41-80",10,0.25
"313","I021","dynamic","child","trial 1-40",11,0.275
"314","I021","dynamic","child","trial 41-80",10,0.25
"315","I022","dynamic","child","trial 1-40",11,0.275
"316","I022","dynamic","child","trial 41-80",9,0.225
"317","I023","dynamic","child","trial 1-40",18,0.45
"318","I023","dynamic","child","trial 41-80",12,0.3
"319","I024","dynamic","child","trial 1-40",11,0.275
"320","I024","dynamic","child","trial 41-80",8,0.2
"321","I025","static","child","trial 1-40",10,0.25
"322","I025","static","child","trial 41-80",10,0.25
"323","I026","dynamic","child","trial 1-40",9,0.225
"324","I026","dynamic","child","trial 41-80",9,0.225
"325","I027","dynamic","child","trial 1-40",11,0.275
"326","I027","dynamic","child","trial 41-80",10,0.25
"327","I028","dynamic","child","trial 1-40",29,0.725
"328","I028","dynamic","child","trial 41-80",23,0.575
"329","I029","static","child","trial 1-40",11,0.275
"330","I029","static","child","trial 41-80",11,0.275
"331","I030","dynamic","child","trial 1-40",11,0.275
"332","I030","dynamic","child","trial 41-80",10,0.25
"333","I031","dynamic","child","trial 1-40",11,0.275
"334","I031","dynamic","child","trial 41-80",11,0.275
"335","I032","static","child","trial 1-40",12,0.3
"336","I032","static","child","trial 41-80",12,0.3
"337","I033","static","child","trial 1-40",15,0.375
"338","I033","static","child","trial 41-80",28,0.7
"339","I034","dynamic","child","trial 1-40",8,0.2
"340","I034","dynamic","child","trial 41-80",8,0.2
"341","I035","dynamic","child","trial 1-40",10,0.25
"342","I035","dynamic","child","trial 41-80",9,0.225
"343","I036","dynamic","child","trial 1-40",11,0.275
"344","I036","dynamic","child","trial 41-80",10,0.25
"345","I037","static","child","trial 1-40",10,0.25
"346","I037","static","child","trial 41-80",12,0.3
"347","I038","dynamic","child","trial 1-40",14,0.35
"348","I038","dynamic","child","trial 41-80",10,0.25
"349","I039","dynamic","child","trial 1-40",18,0.45
"350","I039","dynamic","child","trial 41-80",12,0.3
"351","I040","static","child","trial 1-40",11,0.275
"352","I040","static","child","trial 41-80",10,0.25
"353","I042","static","child","trial 1-40",37,0.925
"354","I042","static","child","trial 41-80",40,1
"355","I043","dynamic","child","trial 1-40",30,0.75
"356","I043","dynamic","child","trial 41-80",0,0
"357","I044","dynamic","child","trial 1-40",14,0.35
"358","I044","dynamic","child","trial 41-80",12,0.3
"359","I045","static","child","trial 1-40",11,0.275
"360","I045","static","child","trial 41-80",10,0.25
"361","I046","dynamic","child","trial 1-40",10,0.25
"362","I046","dynamic","child","trial 41-80",10,0.25
"363","I047","dynamic","child","trial 1-40",11,0.275
"364","I047","dynamic","child","trial 41-80",9,0.225
"365","I048","dynamic","child","trial 1-40",11,0.275
"366","I048","dynamic","child","trial 41-80",10,0.25
"367","I049","static","child","trial 1-40",10,0.25
"368","I049","static","child","trial 41-80",8,0.2
"369","I050","dynamic","child","trial 1-40",7,0.175
"370","I050","dynamic","child","trial 41-80",9,0.225
"371","I051","static","child","trial 1-40",35,0.875
"372","I051","static","child","trial 41-80",32,0.8
"373","I052","dynamic","child","trial 1-40",21,0.525
"374","I052","dynamic","child","trial 41-80",17,0.425
"375","I053","dynamic","child","trial 1-40",18,0.45
"376","I053","dynamic","child","trial 41-80",19,0.475
"377","I054","dynamic","child","trial 1-40",14,0.35
"378","I054","dynamic","child","trial 41-80",13,0.325
"379","I056","static","child","trial 1-40",16,0.4
"380","I056","static","child","trial 41-80",17,0.425
"381","I057","dynamic","child","trial 1-40",11,0.275
"382","I057","dynamic","child","trial 41-80",13,0.325
"383","I058","dynamic","child","trial 1-40",10,0.25
"384","I058","dynamic","child","trial 41-80",11,0.275
"385","I059","dynamic","child","trial 1-40",12,0.3
"386","I059","dynamic","child","trial 41-80",12,0.3
"387","I060","dynamic","child","trial 1-40",14,0.35
"388","I060","dynamic","child","trial 41-80",13,0.325
"389","I061","dynamic","child","trial 1-40",10,0.25
"390","I061","dynamic","child","trial 41-80",11,0.275
"391","I062","dynamic","child","trial 1-40",15,0.375
"392","I062","dynamic","child","trial 41-80",13,0.325
"393","I063","dynamic","child","trial 1-40",11,0.275
"394","I063","dynamic","child","trial 41-80",10,0.25
"395","I064","dynamic","child","trial 1-40",10,0.25
"396","I064","dynamic","child","trial 41-80",9,0.225
"397","I066","dynamic","child","trial 1-40",30,0.75
"398","I066","dynamic","child","trial 41-80",0,0
"399","I067","dynamic","child","trial 1-40",10,0.25
"400","I067","dynamic","child","trial 41-80",9,0.225
"401","I068","dynamic","child","trial 1-40",34,0.85
"402","I068","dynamic","child","trial 41-80",0,0
"403","I069","dynamic","child","trial 1-40",4,0.1
"404","I069","dynamic","child","trial 41-80",14,0.35
"405","I070","static","child","trial 1-40",13,0.325
"406","I070","static","child","trial 41-80",14,0.35
"407","I071","dynamic","child","trial 1-40",31,0.775
"408","I071","dynamic","child","trial 41-80",0,0
"409","I072","dynamic","child","trial 1-40",24,0.6
"410","I072","dynamic","child","trial 41-80",0,0
"411","I073","dynamic","child","trial 1-40",13,0.325
"412","I073","dynamic","child","trial 41-80",20,0.5
"413","I074","static","child","trial 1-40",39,0.975
"414","I074","static","child","trial 41-80",38,0.95
"415","I075","dynamic","child","trial 1-40",36,0.9
"416","I075","dynamic","child","trial 41-80",0,0
"417","I076","static","child","trial 1-40",17,0.425
"418","I076","static","child","trial 41-80",21,0.525
"419","I077","dynamic","child","trial 1-40",10,0.25
"420","I077","dynamic","child","trial 41-80",9,0.225
"421","I078","static","child","trial 1-40",20,0.5
"422","I078","static","child","trial 41-80",24,0.6
"423","S002","static","child","trial 1-40",26,0.65
"424","S002","static","child","trial 41-80",38,0.95
"425","S003","static","child","trial 1-40",14,0.35
"426","S003","static","child","trial 41-80",30,0.75
"427","S011","dynamic","child","trial 1-40",12,0.3
"428","S011","dynamic","child","trial 41-80",9,0.225
"429","S015","static","child","trial 1-40",11,0.275
"430","S015","static","child","trial 41-80",9,0.225
"431","S017","dynamic","child","trial 1-40",9,0.225
"432","S017","dynamic","child","trial 41-80",10,0.25
